EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Hotels and restaurants (55),I,56.1,I56.10,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Food and beverage service activities,Accommodation and food service activities,I_56_561,I_56_561_5610
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.19,G47.19,Other retail sale in non-specialised stores,Other retail sale in non-specialized stores,Retail sale in non-specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_471,G_47_471_4719
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.11,G47.11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",Retail sale in non-specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_471,G_47_471_4711
Retail sale of automotive fuel,G,47.3,G47.30,Retail sale of automotive fuel in specialised stores,Retail sale of automotive fuel in specialized stores,Retail sale of automotive fuel in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_473,G_47_473_4730
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.61,G47.61,Retail sale of books in specialised stores,"Retail sale of books, newspapers and stationary in specialized stores",Retail sale of cultural and recreation goods in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_476,G_47_476_4761
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.62,G47.62,Retail sale of newspapers and stationery in specialised stores,"Retail sale of books, newspapers and stationary in specialized stores",Retail sale of cultural and recreation goods in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_476,G_47_476_4761
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.65,G47.65,Retail sale of games and toys in specialised stores,Retail sale of games and toys in specialized stores,Retail sale of cultural and recreation goods in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_476,G_47_476_4764
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.63,G47.63,Retail sale of music and video recordings in specialised stores,Retail sale of music and video recordings in specialized stores,Retail sale of cultural and recreation goods in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_476,G_47_476_4762
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.64,G47.64,Retail sale of sporting equipment in specialised stores,Retail sale of sporting equipment in specialized stores,Retail sale of cultural and recreation goods in specialized stores,"Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_476,G_47_476_4763
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.25,G47.25,Retail sale of beverages in specialised stores,Retail sale of beverages in specialized stores,"Retail sale of food, beverages and tobacco in specialized stores","Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_472,G_47_472_4722
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.29,G47.29,Other retail sale of food in specialised stores,Retail sale of food in specialized stores,"Retail sale of food, beverages and tobacco in specialized stores","Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_472,G_47_472_4721
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",G,47.24,G47.24,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",Retail sale of food in specialized stores,"Retail sale of food, beverages and tobacco in specialized stores","Retail trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_47_472,G_47_472_4721
